,DataSet,ID,Chamber,ClimateTreatment,WaterStatus,Variety,Ploidy,Month,Tiller,BiomassGrowthRate,HeightGrowthRate,Left-Right,Inner-Outer
63,CF,63,Chamber 1,Treatment,Waterlog,Abergain,Tetraploid,May,3,0.00116279,0.391891892,10,3
64,CF,64,Chamber 1,Treatment,Not Waterlog,Carraig,Tetraploid,May,3,0.0012093,0.472972973,10,3
65,CF,65,Chamber 1,Treatment,Not Waterlog,Aberchoice,Diploid,May,2,2.33E-05,0.202702703,11,1
66,CF,66,Chamber 1,Treatment,Not Waterlog,Carraig,Tetraploid,May,1,0.00037209,0.22972973,11,2
67,CF,67,Chamber 1,Treatment,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.148648649,11,2
68,CF,68,Chamber 1,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.162162162,11,2
69,CF,69,Chamber 1,Treatment,Not Waterlog,Carraig,Tetraploid,May,1,0.0004186,0.256756757,11,2
70,CF,70,Chamber 1,Treatment,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.189189189,11,2
71,CF,71,Chamber 1,Treatment,Waterlog,Aberchoice,Diploid,May,4,2.33E-05,0.202702703,11,2
72,CF,72,Chamber 1,Treatment,Waterlog,Aberchoice,Diploid,May,0,2.33E-05,0.162162162,11,2
73,CF,73,Chamber 1,Treatment,Not Waterlog,Abergain,Tetraploid,May,2,0.00069767,0.310810811,12,1
74,CF,74,Chamber 1,Treatment,Waterlog,Abergain,Tetraploid,May,2,0.00025581,0.202702703,12,1
75,CF,75,Chamber 1,Treatment,Waterlog,Carraig,Tetraploid,May,2,0.00025581,0.202702703,12,1
76,CF,76,Chamber 1,Treatment,Not Waterlog,Dunluce,Tetraploid,May,0,2.33E-05,0.081081081,12,1
77,CF,77,Chamber 1,Treatment,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.121621622,12,1
78,CF,78,Chamber 1,Treatment,Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.135135135,12,1
79,CF,79,Chamber 1,Treatment,Waterlog,Abergain,Tetraploid,May,0,0,0.040540541,12,1
80,CF,80,Chamber 1,Treatment,Not Waterlog,Carraig,Tetraploid,May,0,2.33E-05,0.175675676,12,1
81,CF,81,Chamber 2,Ambient,Not Waterlog,Carraig,Tetraploid,May,1,2.33E-05,0.175675676,1,1
82,CF,82,Chamber 2,Ambient,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.162162162,1,1
83,CF,83,Chamber 2,Ambient,Waterlog,Dunluce,Tetraploid,May,0,0,0.067567568,1,1
84,CF,84,Chamber 2,Ambient,Waterlog,Carraig,Tetraploid,May,1,2.33E-05,0.121621622,1,1
85,CF,85,Chamber 2,Ambient,Not Waterlog,Carraig,Tetraploid,May,1,0.0004186,0.256756757,1,1
86,CF,86,Chamber 2,Ambient,Waterlog,Aberchoice,Diploid,May,6,0.00395349,0.554054054,1,1
87,CF,87,Chamber 2,Ambient,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.094594595,1,1
88,CF,88,Chamber 2,Ambient,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.175675676,1,1
89,CF,89,Chamber 2,Ambient,Waterlog,Carraig,Tetraploid,May,13,0.00783721,0.608108108,2,1
90,CF,90,Chamber 2,Ambient,Waterlog,Aberchoice,Diploid,May,17,0.00839535,0.797297297,2,2
91,CF,91,Chamber 2,Ambient,Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.148648649,2,2
92,CF,92,Chamber 2,Ambient,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.121621622,2,2
93,CF,93,Chamber 2,Ambient,Not Waterlog,Aberchoice,Diploid,May,2,2.33E-05,0.189189189,2,2
94,CF,94,Chamber 2,Ambient,Not Waterlog,Carraig,Tetraploid,May,3,0.00032558,0.486486486,2,2
95,CF,95,Chamber 2,Ambient,Not Waterlog,Dunluce,Tetraploid,May,2,0.00044186,0.283783784,2,2
96,CF,96,Chamber 2,Ambient,Not Waterlog,Carraig,Tetraploid,May,1,2.33E-05,0.216216216,2,2
97,CF,97,Chamber 2,Ambient,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.189189189,3,1
98,CF,98,Chamber 2,Ambient,Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.194594595,3,2
99,CF,99,Chamber 2,Ambient,Not Waterlog,Dunluce,Tetraploid,May,1,0.00016279,0.202702703,3,3
100,CF,100,Chamber 2,Ambient,Not Waterlog,Abergain,Tetraploid,May,2,0.0007907,0.310810811,3,3
101,CF,101,Chamber 2,Ambient,Not Waterlog,Abergain,Tetraploid,May,3,0.0005814,0.310810811,3,3
102,CF,102,Chamber 2,Ambient,Not Waterlog,Abergain,Tetraploid,May,2,0.00090698,0.310810811,3,3
103,CF,103,Chamber 2,Ambient,Not Waterlog,Dunluce,Tetraploid,May,1,0.00027907,0.337837838,3,3
104,CF,104,Chamber 2,Ambient,Not Waterlog,Abergain,Tetraploid,May,2,0.0022093,0.554054054,3,3
105,CF,105,Chamber 2,Ambient,Waterlog,Abergain,Tetraploid,May,0,0,0.048648649,4,1
106,CF,106,Chamber 2,Ambient,Waterlog,Dunluce,Tetraploid,May,2,0.00155814,0.418918919,4,2
107,CF,107,Chamber 2,Ambient,Waterlog,Abergain,Tetraploid,May,2,2.33E-05,0.297297297,4,3
108,CF,108,Chamber 2,Ambient,Waterlog,Abergain,Tetraploid,May,0,0,0.054054054,4,4
109,CF,109,Chamber 2,Ambient,Waterlog,Abergain,Tetraploid,May,1,0.0005814,0.310810811,4,4
110,CF,110,Chamber 2,Ambient,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.162162162,4,4
111,CF,111,Chamber 2,Ambient,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.202702703,4,4
112,CF,112,Chamber 2,Ambient,Waterlog,Carraig,Tetraploid,May,4,0.00165116,0.459459459,4,4
113,CF,113,Chamber 2,Ambient,Waterlog,Aberchoice,Diploid,May,11,0.00653488,0.702702703,5,1
114,CF,114,Chamber 2,Ambient,Waterlog,Carraig,Tetraploid,May,1,0.00034884,0.22972973,5,2
115,CF,115,Chamber 2,Ambient,Not Waterlog,Carraig,Tetraploid,May,1,2.33E-05,0.283783784,5,3
116,CF,116,Chamber 2,Ambient,Not Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.108108108,5,4
117,CF,117,Chamber 2,Ambient,Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.256756757,6,1
118,CF,118,Chamber 2,Ambient,Not Waterlog,Dunluce,Tetraploid,May,1,0.00053488,0.297297297,6,2
119,CF,119,Chamber 2,Ambient,Not Waterlog,Carraig,Tetraploid,May,3,0.00274419,0.554054054,6,3
120,CF,120,Chamber 2,Ambient,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.135135135,6,4
121,CF,121,Chamber 2,Ambient,Waterlog,Carraig,Tetraploid,May,1,0.00032558,0.22972973,7,1
122,CF,122,Chamber 2,Ambient,Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.337837838,7,2
123,CF,123,Chamber 2,Ambient,Waterlog,Carraig,Tetraploid,May,4,0.0014186,0.513513514,7,3
124,CF,124,Chamber 2,Ambient,Not Waterlog,Carraig,Tetraploid,May,9,0.00723256,0.581081081,7,4
125,CF,125,Chamber 2,Ambient,Not Waterlog,Aberchoice,Diploid,May,0,2.33E-05,0.189189189,8,1
126,CF,126,Chamber 2,Ambient,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.197297297,8,2
127,CF,127,Chamber 2,Ambient,Not Waterlog,Abergain,Tetraploid,May,2,0.001,0.283783784,8,3
128,CF,128,Chamber 2,Ambient,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.175675676,8,4
129,CF,129,Chamber 2,Ambient,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.121621622,9,1
130,CF,130,Chamber 2,Ambient,Waterlog,Abergain,Tetraploid,May,0,2.33E-05,0.081081081,9,2
131,CF,131,Chamber 2,Ambient,Not Waterlog,Carraig,Tetraploid,May,1,0.00023256,0.22972973,9,3
132,CF,132,Chamber 2,Ambient,Not Waterlog,Dunluce,Tetraploid,May,1,0.00046512,0.256756757,9,4
133,CF,133,Chamber 2,Ambient,Not Waterlog,Carraig,Tetraploid,May,1,2.33E-05,0.256756757,9,4
134,CF,134,Chamber 2,Ambient,Waterlog,Carraig,Tetraploid,May,2,0.00097674,0.445945946,9,4
135,CF,135,Chamber 2,Ambient,Waterlog,Aberchoice,Diploid,May,2,0.00039535,0.364864865,9,4
136,CF,136,Chamber 2,Ambient,Not Waterlog,Aberchoice,Diploid,May,2,0.00076744,0.459459459,9,4
137,CF,137,Chamber 2,Ambient,Not Waterlog,Aberchoice,Diploid,May,1,0.00018605,0.243243243,10,1
138,CF,138,Chamber 2,Ambient,Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.202702703,10,2
139,CF,139,Chamber 2,Ambient,Waterlog,Carraig,Tetraploid,May,1,0.00025581,0.310810811,10,3
140,CF,140,Chamber 2,Ambient,Waterlog,Dunluce,Tetraploid,May,2,2.33E-05,0.216216216,10,3
141,CF,141,Chamber 2,Ambient,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.189189189,10,3
142,CF,142,Chamber 2,Ambient,Not Waterlog,Aberchoice,Diploid,May,2,2.33E-05,0.351351351,10,3
143,CF,143,Chamber 2,Ambient,Waterlog,Aberchoice,Diploid,May,2,0.00046512,0.310810811,10,3
144,CF,144,Chamber 2,Ambient,Not Waterlog,Dunluce,Tetraploid,May,1,0.00060465,0.391891892,10,3
145,CF,145,Chamber 2,Ambient,Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.202702703,11,1
146,CF,146,Chamber 2,Ambient,Not Waterlog,Aberchoice,Diploid,May,1,0.00013953,0.310810811,11,2
147,CF,147,Chamber 2,Ambient,Waterlog,Dunluce,Tetraploid,May,0,2.33E-05,0.121621622,11,2
148,CF,148,Chamber 2,Ambient,Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.216216216,11,2
149,CF,149,Chamber 2,Ambient,Waterlog,Carraig,Tetraploid,May,3,0.00134884,0.581081081,11,2
150,CF,150,Chamber 2,Ambient,Waterlog,Dunluce,Tetraploid,May,1,0.00016279,0.216216216,11,2
151,CF,151,Chamber 2,Ambient,Waterlog,Carraig,Tetraploid,May,1,0.00027907,0.337837838,11,2
152,CF,152,Chamber 2,Ambient,Not Waterlog,Aberchoice,Diploid,May,1,0.00013953,0.283783784,11,2
153,CF,153,Chamber 2,Ambient,Waterlog,Aberchoice,Diploid,May,1,0.00013953,0.337837838,12,1
154,CF,154,Chamber 2,Ambient,Not Waterlog,Carraig,Tetraploid,May,1,2.33E-05,0.189189189,12,1
155,CF,155,Chamber 2,Ambient,Not Waterlog,Abergain,Tetraploid,May,1,0.00030233,0.22972973,12,1
156,CF,156,Chamber 2,Ambient,Not Waterlog,Aberchoice,Diploid,May,2,0.00055814,0.310810811,12,1
157,CF,157,Chamber 2,Ambient,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.148648649,12,1
158,CF,158,Chamber 2,Ambient,Waterlog,Aberchoice,Diploid,May,2,2.33E-05,0.324324324,12,1
159,CF,159,Chamber 2,Ambient,Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.189189189,12,1
160,CF,160,Chamber 2,Ambient,Not Waterlog,Aberchoice,Diploid,May,0,2.33E-05,0.175675676,12,1
161,CF,161,Chamber 4,Treatment,Not Waterlog,Aberchoice,Diploid,May,2,0.00081395,0.391891892,1,1
162,CF,162,Chamber 4,Treatment,Not Waterlog,Dunluce,Tetraploid,May,0,0,0.067567568,1,1
163,CF,163,Chamber 4,Treatment,Not Waterlog,Carraig,Tetraploid,May,1,2.33E-05,0.148648649,1,1
164,CF,164,Chamber 4,Treatment,Waterlog,Abergain,Tetraploid,May,1,0.00067442,0.243243243,1,1
165,CF,165,Chamber 4,Treatment,Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.148648649,1,1
166,CF,166,Chamber 4,Treatment,Waterlog,Dunluce,Tetraploid,May,0,2.33E-05,0.067567568,1,1
167,CF,167,Chamber 4,Treatment,Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.216216216,1,1
168,CF,168,Chamber 4,Treatment,Waterlog,Abergain,Tetraploid,May,1,0.00027907,0.22972973,1,1
169,CF,169,Chamber 4,Treatment,Waterlog,Dunluce,Tetraploid,May,2,0.0007907,0.337837838,2,1
170,CF,170,Chamber 4,Treatment,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.162162162,2,2
171,CF,171,Chamber 4,Treatment,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.121621622,2,2
172,CF,172,Chamber 4,Treatment,Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.175675676,2,2
173,CF,173,Chamber 4,Treatment,Waterlog,Dunluce,Tetraploid,May,3,0.00048837,0.256756757,2,2
174,CF,174,Chamber 4,Treatment,Not Waterlog,Carraig,Tetraploid,May,21,0.02393023,0.702702703,2,2
175,CF,175,Chamber 4,Treatment,Not Waterlog,Abergain,Tetraploid,May,0,2.33E-05,0.132432432,2,2
176,CF,176,Chamber 4,Treatment,Waterlog,Aberchoice,Diploid,May,3,0.00095349,0.297297297,2,2
177,CF,177,Chamber 4,Treatment,Not Waterlog,Abergain,Tetraploid,May,0,2.33E-05,0.054054054,3,1
178,CF,178,Chamber 4,Treatment,Waterlog,Aberchoice,Diploid,May,0,2.33E-05,0.186486486,3,2
179,CF,179,Chamber 4,Treatment,Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.202702703,3,3
180,CF,180,Chamber 4,Treatment,Waterlog,Dunluce,Tetraploid,May,2,0.0004186,0.267567568,3,3
181,CF,181,Chamber 4,Treatment,Waterlog,Carraig,Tetraploid,May,5,0.00344186,0.432432432,3,3
182,CF,182,Chamber 4,Treatment,Waterlog,Carraig,Tetraploid,May,3,0.00125581,0.375675676,3,3
183,CF,183,Chamber 4,Treatment,Not Waterlog,Carraig,Tetraploid,May,4,0.00127907,0.391891892,3,3
184,CF,184,Chamber 4,Treatment,Waterlog,Carraig,Tetraploid,May,2,0.00046512,0.364864865,3,3
185,CF,185,Chamber 4,Treatment,Waterlog,Carraig,Tetraploid,May,2,0.00093023,0.364864865,4,1
186,CF,186,Chamber 4,Treatment,Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.202702703,4,2
187,CF,187,Chamber 4,Treatment,Waterlog,Abergain,Tetraploid,May,3,0.00065116,0.324324324,4,3
188,CF,188,Chamber 4,Treatment,Not Waterlog,Carraig,Tetraploid,May,2,0.00032558,0.283783784,4,4
189,CF,189,Chamber 4,Treatment,Waterlog,Abergain,Tetraploid,May,3,0.00046512,0.256756757,4,4
190,CF,190,Chamber 4,Treatment,Waterlog,Carraig,Tetraploid,May,3,0.00048837,0.324324324,4,4
191,CF,191,Chamber 4,Treatment,Not Waterlog,Carraig,Tetraploid,May,6,0.00234884,0.351351351,4,4
192,CF,192,Chamber 4,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,0.00027907,0.243243243,4,4
193,CF,193,Chamber 4,Treatment,Not Waterlog,Carraig,Tetraploid,May,2,0.00025581,0.27027027,5,1
194,CF,194,Chamber 4,Treatment,Not Waterlog,Abergain,Tetraploid,May,2,0.00065116,0.297297297,5,2
195,CF,195,Chamber 4,Treatment,Not Waterlog,Dunluce,Tetraploid,May,3,0.00227907,0.418918919,5,3
196,CF,196,Chamber 4,Treatment,Not Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.22972973,5,4
197,CF,197,Chamber 4,Treatment,Waterlog,Carraig,Tetraploid,May,1,0.00030233,0.202702703,6,1
198,CF,198,Chamber 4,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.108108108,6,2
199,CF,199,Chamber 4,Treatment,Not Waterlog,Aberchoice,Diploid,May,1,0.0004186,0.324324324,6,3
200,CF,200,Chamber 4,Treatment,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.202702703,6,4
201,CF,201,Chamber 4,Treatment,Waterlog,Aberchoice,Diploid,May,1,0.0002093,0.216216216,7,1
202,CF,202,Chamber 4,Treatment,Not Waterlog,Aberchoice,Diploid,May,1,0.00065116,0.27027027,7,2
203,CF,203,Chamber 4,Treatment,Waterlog,Dunluce,Tetraploid,May,1,0.00074419,0.283783784,7,3
204,CF,204,Chamber 4,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.175675676,7,4
205,CF,205,Chamber 4,Treatment,Not Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.121621622,8,1
206,CF,206,Chamber 4,Treatment,Not Waterlog,Abergain,Tetraploid,May,2,2.33E-05,0.202702703,8,2
207,CF,207,Chamber 4,Treatment,Waterlog,Abergain,Tetraploid,May,2,0.00088372,0.297297297,8,3
208,CF,208,Chamber 4,Treatment,Not Waterlog,Carraig,Tetraploid,May,2,0.00088372,0.283783784,8,4
209,CF,209,Chamber 4,Treatment,Not Waterlog,Dunluce,Tetraploid,May,0,2.33E-05,0.148648649,9,1
210,CF,210,Chamber 4,Treatment,Waterlog,Carraig,Tetraploid,May,1,2.33E-05,0.154054054,9,2
211,CF,211,Chamber 4,Treatment,Waterlog,Dunluce,Tetraploid,May,2,2.33E-05,0.189189189,9,3
212,CF,212,Chamber 4,Treatment,Waterlog,Aberchoice,Diploid,May,2,0.00093023,0.324324324,9,4
213,CF,213,Chamber 4,Treatment,Waterlog,Carraig,Tetraploid,May,2,0.00023256,0.243243243,9,4
214,CF,214,Chamber 4,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.148648649,9,4
215,CF,215,Chamber 4,Treatment,Not Waterlog,Aberchoice,Diploid,May,2,2.33E-05,0.22972973,9,4
216,CF,216,Chamber 4,Treatment,Waterlog,Aberchoice,Diploid,May,2,0.00093023,0.335135135,9,4
217,CF,217,Chamber 4,Treatment,Waterlog,Carraig,Tetraploid,May,1,2.33E-05,0.405405405,10,1
218,CF,218,Chamber 4,Treatment,Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.135135135,10,2
219,CF,219,Chamber 4,Treatment,Not Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.175675676,10,3
220,CF,220,Chamber 4,Treatment,Not Waterlog,Aberchoice,Diploid,May,2,0.00090698,0.310810811,10,3
221,CF,221,Chamber 4,Treatment,Not Waterlog,Dunluce,Tetraploid,May,2,0.00032558,0.27027027,10,3
222,CF,222,Chamber 4,Treatment,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.162162162,10,3
223,CF,223,Chamber 4,Treatment,Not Waterlog,Dunluce,Tetraploid,May,2,0.00048837,0.237837838,10,3
224,CF,224,Chamber 4,Treatment,Waterlog,Aberchoice,Diploid,May,15,0.01076744,0.581081081,10,3
225,CF,225,Chamber 4,Treatment,Not Waterlog,Abergain,Tetraploid,May,2,0.00013953,0.175675676,11,1
226,CF,226,Chamber 4,Treatment,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.108108108,11,2
227,CF,227,Chamber 4,Treatment,Waterlog,Carraig,Tetraploid,May,1,2.33E-05,0.175675676,11,2
228,CF,228,Chamber 4,Treatment,Waterlog,Abergain,Tetraploid,May,3,0.00060465,0.256756757,11,2
229,CF,229,Chamber 4,Treatment,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.148648649,11,2
230,CF,230,Chamber 4,Treatment,Not Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.216216216,11,2
231,CF,231,Chamber 4,Treatment,Waterlog,Abergain,Tetraploid,May,0,2.33E-05,0.135135135,11,2
232,CF,232,Chamber 4,Treatment,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.189189189,11,2
233,CF,233,Chamber 4,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.108108108,12,1
234,CF,234,Chamber 4,Treatment,Not Waterlog,Carraig,Tetraploid,May,4,0.00132558,0.391891892,12,1
235,CF,235,Chamber 4,Treatment,Not Waterlog,Carraig,Tetraploid,May,3,0.00062791,0.337837838,12,1
236,CF,236,Chamber 4,Treatment,Not Waterlog,Aberchoice,Diploid,May,12,0.00583721,0.513513514,12,1
